id;latitude;longitude;depth;seasurface_temperature_mean_1965_1974;seasurface_temperature_amplitude_1965_1974;seafloor_temperature_mean_1965_1974;seafloor_temperature_amplitude_1965_1974;seasurface_salinity_mean_1965_1974;seasurface_salinity_amplitude_1965_1974;seafloor_salinity_mean_1965_1974;seafloor_salinity_amplitude_1965_1974;chlorophyla_summer_mean_2002_2009;geomorphology;sediments;slope;seafloor_oxygen_mean_1955_2012;roughness
1;64.85;-49.75;-324;4.846650124;-1.910485148;2.266094923;0.090260029;33.80825043;-0.063463211;34.2223053;-0.060745239;0.183819622;14;4;0.033748493;5.339814186;831
1;64.95;-49.75;-345;4.846650124;-1.910485148;2.207429886;0.05431509;33.80825043;-0.063463211;34.15359116;-0.072071075;0.181607261;14;4;0.028456995;5.686451912;831
1;66.05;-47.45;-567;5.830209732;-2.657710314;1.366440058;-0.32370007;33.76049042;0.044586182;34.39459229;-0.0054245;0.222513303;14;4;0.002351223;4.316439629;190
1;69.85;-50.15;-178;4.558594704;-2.272379875;2.316709995;-0.577509999;33.84008789;0.033813477;33.95121002;0.014602661;0.225889683;2;4;0.004979663;7.026675701;174
1;70.05;-49.95;-139;4.575900078;-2.384780169;2.057805061;-1.018249869;33.8250885;0.028202057;33.87763977;0.037635803;0.367147088;2;4;0.003148164;NA;105
1;70.75;-49.55;-156;4.659090042;-2.369735003;2.390027523;-1.631812572;33.87324905;0.039405823;33.91817474;0.026248932;0.439274579;2;4;0.00295679;NA;86
1;71.85;-49.45;-590;4.767089844;-2.181679964;2.160300016;0.12749505;33.88561249;0.045310974;34.54665375;-0.04914856;0.519131005;14;2;0.004611615;NA;90
1;75.65;-52.25;-653;4.123049736;-1.366094828;1.986682534;0.103485107;33.86898804;-0.014450073;34.48012924;-0.127162933;0.351979792;14;2;0.013064568;NA;226
1;69.35;-48.95;-60;4.853509903;-2.215810061;2.72826004;-2.21130991;33.69771194;-0.008098602;33.77944946;-0.011493683;NA;2;4;0.013876587;7.296092987;143
1;69.15;-48.65;-96;4.870600224;-2.147210121;3.181640148;-0.554855108;33.73040009;-0.016590118;33.79305649;-0.043640137;0.607922554;2;4;0.005083326;7.380550385;111
1;69.75;-49.25;-72;4.703921318;NA;NA;NA;NA;NA;NA;NA;NA;2;4;0.015141101;NA;60
1;69.95;-49.35;NA;4.656350136;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;0.015392818;NA;59
1;70.15;-49.55;-70;4.65350008;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;0.006504176;NA;70
1;70.15;-49.45;-50;4.65350008;NA;NA;NA;NA;NA;NA;NA;1.647205353;2;NA;0.005168587;NA;65
1;64.75;-49.85;-207;4.722655296;-1.83003521;2.145474911;0.052282333;33.80729675;-0.069257736;34.10500717;-0.080284119;0.188149661;14;4;0.007916989;5.923333168;258
1;64.85;-49.95;-224;4.704699993;-1.842690229;2.84649992;-1.008149862;33.80778885;-0.06741333;33.88140106;-0.08694458;0.19314903;14;4;0.008202985;7.222484112;282
1;65.05;-49.75;-421;4.803339958;-1.905255198;2.22824502;0.077305079;33.81030273;-0.054849625;34.19424438;-0.063499451;0.177954063;14;4;0.032057703;5.514344215;943
1;65.15;-49.95;-72;4.668789864;-1.829900265;2.088940144;0.111664772;33.80998993;-0.057300568;33.95410156;-0.092113495;0.189167663;14;4;0.014705691;6.919138908;454
1;65.25;-49.85;-526;4.668789864;-1.838490009;NA;NA;33.81073761;-0.053850174;NA;NA;0.17445749;14;4;0.037548728;5.197443962;1217
1;65.45;-50.05;-486;4.668789864;-1.73239994;2.323549986;0.154710054;33.81299973;-0.05997467;34.34939575;-0.046543121;0.168774173;14;4;0.004499963;4.523108482;579
1;66.15;-48.15;-834;5.462900162;-2.635390043;NA;NA;33.79288864;0.020801544;NA;NA;0.185941651;14;4;0.015111343;NA;413
1;67.05;-48.85;-549;5.015510082;-2.263289928;NA;NA;33.80918884;0.008998871;NA;NA;0.20532544;14;4;0.041642625;NA;1018
1;67.45;-48.65;-99;4.996109962;-2.23059988;2.338749886;0.018390179;33.80391312;0.011177063;33.91773987;-0.138607025;0.207559034;2;4;0.000544348;6.893949509;150
1;67.55;-49.75;-224;4.593554974;-2.040549994;2.440850019;0.268355131;33.81315613;-0.001068115;34.44588852;-0.024204254;0.182263508;14;4;0.041822292;4.673682213;1263
1;67.55;-49.15;-183;4.83695507;-2.145110369;2.405445099;-0.095754862;33.80721283;0.005420685;34.00510025;-0.135566711;0.223213747;2;4;0.001414282;6.708921432;94
1;67.65;-49.65;-169;4.697199821;-2.072319984;NA;NA;33.81221008;0.00497818;NA;NA;0.186042488;2;4;0.003919709;NA;96
1;67.65;-48.65;-232;4.976709843;-2.166310072;2.007610083;0.05377984;33.79990005;0.006290436;33.91661072;-0.147422791;0.236537352;2;4;0.002141099;6.737893105;112
1;67.75;-49.45;-170;4.697199821;-2.125295162;2.279447556;0.06572485;33.80830002;0.005346298;33.9550209;-0.103847504;0.209094018;2;4;0.001243234;6.926207542;67
1;67.75;-49.15;-187;4.83695507;-2.139600277;2.504240036;0.08555007;33.8052063;0.004798889;33.93119431;-0.11126709;0.263037145;2;4;0.001089442;6.926207542;46
1;67.75;-49.75;-218;4.593554974;-2.063177586;1.957094908;-0.086892486;33.81180191;-0.001584053;34.03598785;-0.08429718;0.193881407;2;4;0.003137338;6.488755226;80
1;67.75;-49.25;-183;4.767077446;-2.13244772;2.201349974;0.009109974;33.80675507;0.005072594;33.97685623;-0.120658875;0.252004087;2;4;0.000560525;6.708921432;30
1;67.95;-48.75;-142;4.976709843;-2.124360085;2.712900162;-0.020145178;33.79600525;0.00110054;33.92735291;-0.120258331;0.531129181;2;4;0.003192699;6.893949509;63
1;67.95;-49.95;-196;4.489910126;-2.039489985;1.826294899;0.058239937;33.81161118;-0.006198883;33.96209717;-0.066055298;0.19252196;2;4;0.023290204;6.708921432;980
1;68.15;-48.15;-179;5.1667099;-2.073089838;3.702310085;-0.890545368;33.7761879;-0.00510025;33.83094025;-0.022384644;0.243130893;2;4;0.003324865;7.294316292;121
1;68.15;-49.85;-187;4.501110077;-2.083189964;NA;NA;33.80860138;-0.00510788;NA;NA;0.270114779;2;4;0.00101398;NA;48
1;68.35;-49.75;-178;4.585209846;-2.18710494;1.99071002;-0.190500021;33.80081177;0.000600815;33.85980988;-0.032699585;0.439327925;2;4;0.00121278;7.077194214;58
1;68.45;-49.95;-197;4.501110077;-2.142409801;NA;NA;33.80290985;-0.003520966;NA;NA;0.275512069;2;4;0.003023399;NA;65
1;68.45;-48.35;-109;5.1667099;-2.0704;3.554709911;-0.738394976;33.77368927;-0.01089859;33.83341217;-0.029701233;0.597585082;2;4;0.003432607;7.294316292;84
1;68.45;-49.85;-139;4.501110077;-2.142409801;1.99071002;-0.190500021;33.80290985;-0.003520966;33.85980988;-0.032699585;0.361964971;2;4;0.002250502;7.077194214;64
1;68.45;-47.15;-301;5.780399799;-2.268620253;NA;NA;33.73130035;0.038188934;NA;NA;0.332482457;14;4;0.008531065;NA;294
1;68.65;-48.25;-160;5.129710197;-2.082650185;2.996309996;0.259520054;33.76260376;-0.015289307;34.00028992;-0.074890137;0.575371742;2;4;0.002260759;NA;66
1;68.65;-48.15;-163;5.129710197;-2.083000183;2.996309996;0.259520054;33.76161194;-0.015789032;34.00028992;-0.074890137;0.436555177;2;4;0.003816048;NA;106
1;68.95;-48.25;-145;5.092710018;-2.09079504;2.85303998;-0.104604721;33.75604248;-0.014799118;33.89920044;-0.039497375;0.790147126;2;4;0.001450725;7.165735245;70
1;68.95;-49.85;-120;4.51928997;-2.304990053;NA;NA;33.77891159;0.008823395;NA;NA;0.423635274;2;4;0.009370329;7.077194214;136
1;69.15;-48.05;-151;5.092710018;-2.188589811;3.001640081;-0.457464695;33.74541092;-0.019023895;33.83700562;-0.0247612;0.578143418;2;4;0.00180767;7.296092987;58
1;69.15;-50.05;-157;4.51928997;-2.225999832;2.351894855;-0.406539917;33.81028748;0.011489868;33.93395233;0.007247925;0.386350185;2;4;0.003751607;7.183413506;100
1;69.25;-48.05;-173;5.067305088;-2.219094992;NA;NA;33.74250031;-0.016901016;NA;NA;0.644997597;2;4;0.002551289;NA;113
1;69.85;-49.85;-108;4.558594704;-2.400300026;2.694210052;-1.595499992;33.79701233;0.027000427;33.83294678;0.046344757;0.59459281;2;4;0.009354454;NA;133
1;69.95;-49.95;-145;4.558594704;-2.400300026;NA;NA;33.79701233;0.027000427;NA;NA;0.446281016;2;4;0.002527402;NA;65
1;70.15;-48.15;-109;5.006790161;-2.463020086;2.41960001;-0.877449989;33.74369812;0.000923157;33.77570343;-0.058067322;0.942615807;2;4;0.00372787;7.383911133;99
1;70.55;-48.55;-117;4.806190014;-2.529690027;NA;NA;33.77841187;0.011600494;NA;NA;2.154173851;2;4;0.001782181;NA;64
1;70.55;-51.45;-623;4.318989754;-1.836410046;NA;NA;33.91668701;0.069419861;NA;NA;0.269305736;14;2;0.016789733;4.545639992;468
1;70.65;-49.65;-122;4.659090042;-2.384389877;2.307800055;-1.460880041;33.86849976;0.037200928;33.92128754;0.019710541;0.395773321;2;4;0.001718657;NA;49
1;70.75;-49.25;-60;4.695865154;-2.46212244;NA;NA;33.86778259;0.03942585;NA;NA;0.864548624;2;4;0.015223881;NA;305
1;70.75;-48.95;-47;4.806190014;-2.216840029;2.985630035;-1.8527174;33.80899811;0.021713257;33.82172394;-0.009952545;1.093776464;2;4;0.004848227;7.471713066;144
1;70.85;-49.45;-101;4.659090042;-2.429490089;2.479759932;-1.849154949;33.86820984;0.039901733;33.92526245;0.01909256;0.410335034;2;4;0.009675919;NA;300
1;70.85;-49.05;-123;4.732640266;-2.462389946;2.552050114;-1.97061491;33.8563118;0.040523529;33.93574524;0.005702972;0.623567939;2;4;0.023291543;NA;602
1;70.95;-49.25;-169;4.695865154;-2.445940018;NA;NA;33.86225891;0.040212631;NA;NA;0.336944163;14;4;0.019603398;NA;569
1;71.05;-48.75;-848;4.805000305;-2.513385057;1.813702464;-0.028249979;33.82600021;0.039861679;34.4143219;-0.149570465;0.339487612;14;2;0.035525803;4.563566685;569
1;71.05;-48.65;-812;4.805000305;-2.536280155;1.847854972;-0.005994916;33.81658936;0.038299561;34.41880035;-0.161182404;0.35865292;14;2;0.039355081;4.563566685;673
1;71.15;-49.35;-623;4.663200378;-2.377289772;NA;NA;33.87099838;0.045001984;NA;NA;0.294810385;14;2;0.009328301;5.179449081;370
1;71.25;-49.25;-728;4.700042725;-2.392242432;NA;NA;33.86639404;0.045170784;NA;NA;0.362045079;14;2;0.013565035;NA;430
1;71.35;-50.45;-634;4.554840088;-1.951709986;1.937710047;0.097090006;33.91821289;0.068000793;34.48910141;0.014476776;0.536229432;14;2;0.003732373;4.414092064;91
1;72.05;-47.75;-453;5.089495182;-2.758909702;2.039925098;0.07455492;33.79393768;0.049417496;34.17723846;-0.022743225;0.454924017;14;4;0.028040763;5.477893829;655
1;72.05;-47.25;-387;5.254195213;-2.844900131;2.265182495;0.011582613;33.76579285;0.054750443;34.17092514;0.01745224;0.830664635;14;2;0.03241032;5.299512386;798
1;72.15;-47.65;-999;5.135690212;-2.783899784;NA;NA;33.78408813;0.051212311;NA;NA;0.508099735;14;4;0.025950441;NA;709
0;66.65;-47.35;-374;5.765910149;-2.504099846;1.120649934;-0.583999991;33.75690079;0.054786682;34.37071228;0.020652771;0.213682219;14;4;0.013044124;4.458573818;306
0;74.35;-53.45;-1431;3.98980999;-1.236520171;NA;NA;33.84910965;0.011489868;NA;NA;0.17516388;14;4;0.011452029;NA;280
0;70.15;-50.75;-795;4.419290066;-2.017650127;2.297399998;0.158910036;33.90294266;0.061292648;34.61748886;-0.030410767;0.329129666;14;4;0.008654591;NA;325
0;72.75;-51.65;-693;4.338200092;-1.426550031;NA;NA;33.91689301;0.07088089;NA;NA;0.569777906;14;4;0.011054466;NA;356
0;68.55;-47.75;-205;5.337970257;-2.115809917;2.540494919;0.484349966;33.75540924;-0.00765419;33.90628815;-0.018196106;0.243829399;14;4;0.001552515;NA;83
0;70.15;-47.55;-157;5.233699799;-2.505399942;NA;NA;33.7394104;0.004600525;NA;NA;0.614674389;2;4;0.003302458;NA;132
0;76.85;-53.05;-991;4.229189873;-1.424109936;2.195899963;0.059999943;33.82191086;-0.001499176;34.70316315;-0.018493652;0.195849895;14;7;0.007166466;4.337213039;188
0;71.25;-50.35;-574;4.548007488;-1.978654981;1.956155062;0.097200036;33.91720581;0.066604614;34.48615646;0.021224976;0.420482844;14;2;0.002797643;4.414092064;76
0;75.55;-51.25;-434;4.283490181;-1.339300156;2.247967482;0.093694687;33.87294006;0.000711441;34.53569031;-0.001846313;0.31661275;14;2;0.043167286;4.526702404;1191
0;71.25;-49.85;-605;4.618720055;-2.188905001;NA;NA;33.89820099;0.048299789;NA;NA;0.337860465;14;2;0.001914358;NA;50
0;70.45;-51.25;-245;4.289690018;-1.880050063;1.99010253;-0.085632443;33.91249847;0.072311401;34.18809128;0.157421112;0.274387926;14;2;0.001443553;5.457653999;281
0;71.25;-52.05;-161;4.214779854;-1.679915071;NA;NA;33.90945053;0.04079628;NA;NA;0.298085809;14;2;0.028999198;4.726005554;699
0;72.55;-47.35;-1409;5.125710011;-2.867680073;1.996309996;-0.043279886;33.77568817;0.049888611;34.76940155;-0.014190674;0.631697237;14;7;0.029185524;NA;632
0;66.65;-49.05;-1445;4.935199738;-2.21009016;2.089950085;0.003899813;33.81331253;0.001399994;34.73445129;-0.004447937;0.207691655;14;4;0.00522276;4.34693718;136
0;71.55;-51.05;-628;4.352890015;-1.737190008;NA;NA;33.92518997;0.078990936;NA;NA;0.542765141;14;2;0.016070101;NA;463
0;66.95;-46.85;-646;6.027689934;-2.446909904;2.274209976;-0.293819904;33.71961212;0.073799133;34.47488785;0.000709534;0.274040192;14;4;0.010212107;4.384420872;234
0;63.75;-50.25;-1393;4.79499054;-1.710632563;2.152516365;0.008768797;33.7967453;-0.096213341;34.74065018;0.006137848;0.174120814;14;4;0.048251309;4.512556076;1552
0;70.25;-48.15;-168;5.006790161;-2.49161005;NA;NA;33.74750519;0.004266739;NA;NA;0.916688025;2;4;0.001971886;NA;99
0;76.25;-53.25;-1255;3.974094868;-1.345304966;NA;NA;33.82230759;-0.002510071;NA;NA;0.197534025;14;7;0.007352304;NA;259
0;68.95;-50.55;-1238;4.347410202;-1.957890034;2.154304981;0.050849915;33.84640121;0.020702362;34.73834229;-0.010349274;0.182619125;14;4;0.043751899;NA;1159
0;68.75;-48.35;-139;5.111209869;-2.073490143;3.380660057;-0.610040188;33.76010132;-0.013845444;33.82840729;-0.042037964;0.810591519;2;4;0.001863153;7.250803947;82
0;66.05;-48.65;-1124;5.123945236;-2.494610071;2.19701004;0.018079996;33.80691147;0.005378723;34.70874786;-0.001789093;0.192642778;14;4;0.028365904;NA;659
0;74.85;-53.85;-1257;3.821895123;-1.279099941;NA;NA;33.81611252;0.019496918;NA;NA;0.213580623;14;2;0.00581192;NA;183
0;70.05;-49.65;-100;4.65350008;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;0.011070766;NA;80
0;73.25;-53.65;-1482;3.86548996;-1.317164898;NA;NA;33.85510635;0.027038574;NA;NA;0.172601581;14;2;0.01293285;NA;353
0;73.75;-53.35;-525;4.004135132;-1.197809935;2.314522505;0.248847485;33.85909271;0.022951126;34.39214325;-0.138835907;0.341555119;14;4;0.042597819;4.774770737;1032
0;67.05;-49.05;-796;4.869750023;-2.209179878;NA;NA;33.81098938;0.004600525;NA;NA;0.210599512;14;4;0.056552015;NA;926
0;69.15;-47.25;-496;5.51914978;-2.342440128;1.750090003;-0.384299994;33.73139954;0.014482498;34.30369949;-0.129310608;0.527301788;14;4;0.002945183;NA;110
0;68.25;-49.35;-142;4.669310093;-2.205999851;NA;NA;33.79975128;0.003738403;NA;NA;0.500888228;2;4;0.007005088;6.890331268;155
0;72.45;-51.35;-528;4.395850182;-1.490200162;1.868499994;0.080299973;33.92101288;0.08259964;34.5503006;-0.052600861;0.574513793;2;4;0.025976112;NA;536
0;71.15;-47.65;-209;5.165260315;-2.706509829;NA;NA;33.76118851;0.02501297;NA;NA;1.644598484;14;4;0.006293776;6.649995327;155
0;69.95;-48.95;-74;4.831210136;-2.39372015;3.352659941;-1.701020241;33.74900055;0.01518631;33.78234863;-0.016460419;1.739081383;2;4;0.00091448;7.451264858;41
0;75.65;-51.75;-620;4.203239918;-1.300155044;NA;NA;33.87350464;-0.001455307;NA;NA;0.328534514;14;2;0.009131852;NA;281
0;70.55;-51.05;-711;4.318989754;-1.935700059;2.055399895;0.081699848;33.92068863;0.065601349;34.41435242;0.028453827;0.299108863;14;2;0.017355034;4.648375511;476
0;66.45;-46.55;-1074;6.39945507;-2.596800089;NA;NA;33.71030045;0.081600189;NA;NA;0.200801164;14;4;0.02392868;4.123435497;661
0;70.05;-50.55;-789;4.419290066;-2.028100252;2.265100002;0.250710011;33.89898682;0.059497833;34.56895065;-0.020454407;0.241103932;14;4;0.008866698;NA;333
0;68.55;-47.05;-445;5.726354599;-2.300100088;NA;NA;33.72908783;0.033100128;NA;NA;0.409022093;14;4;0.016742293;NA;441
0;70.25;-47.75;-150;5.176972389;-2.521002293;NA;NA;33.74295044;0.005044937;NA;NA;0.827568889;2;4;0.001860633;NA;71
0;71.85;-50.15;-569;4.642789841;-1.895700097;1.969704986;0.098100185;33.91288757;0.060897827;34.48419952;0.008152008;0.746302664;14;2;0.00260728;4.774933338;84
0;70.75;-50.35;-547;4.527510166;-2.093650103;2.097000122;0.016299963;33.91116333;0.057939529;34.40044403;0.03269577;0.267868131;14;4;0.007552461;NA;147
0;74.55;-50.75;-774;4.471899986;-1.415709972;NA;NA;33.88999176;0.028612137;NA;NA;0.454996854;14;2;0.003375539;NA;109
0;68.35;-49.65;-166;4.669310093;-2.231800079;NA;NA;33.79870987;0.004722595;NA;NA;0.485148609;2;4;0.00269247;7.077194214;96
0;69.25;-50.25;-213;4.489407539;-2.18449235;NA;NA;33.82789612;0.022768974;NA;NA;0.223447725;2;4;0.00875191;5.772494316;178
0;68.45;-48.75;-112;4.919990063;-2.104360104;2.780650139;-0.176414967;33.78248596;-0.004449844;33.85706711;-0.049373627;0.789531291;2;4;0.004440411;7.165735245;100
0;67.45;-48.35;-288;5.273799896;-2.255290031;2.014810085;-0.472979903;33.79829025;0.014900208;34.26498795;-0.020401001;0.212924302;14;4;0.010848019;5.363189697;240
0;70.25;-49.75;-98;4.614700317;-2.359085083;2.723450184;-2.170489788;33.84223938;0.031505585;33.86557007;0.029960632;0.6312657;2;4;0.008400155;NA;89
0;67.95;-47.75;-225;5.452435017;-2.174910069;NA;NA;33.76729965;0.007110596;NA;NA;0.272744507;14;4;0.003350197;NA;126
0;75.25;-52.45;-348;4.097109795;-1.301929951;NA;NA;33.87200165;-0.01099968;NA;NA;0.397647649;14;4;0.008941894;NA;168
0;70.25;-49.95;-155;4.575900078;-2.359085083;2.048599958;-1.03232491;33.84223938;0.031505585;33.88532257;0.037216187;0.291187823;2;4;0.003839031;NA;115
0;69.75;-48.15;-156;5.03312254;-2.347595215;NA;NA;33.73843765;-0.008707047;NA;NA;1.024639487;2;4;0.002192649;NA;55
0;72.25;-47.95;-972;5.042739868;-2.731410027;NA;NA;33.80503845;0.048915863;NA;NA;0.381869972;14;4;0.023265257;NA;674
0;64.05;-50.25;-1371;4.774792671;-1.73309505;2.14819479;0.009359837;33.8026619;-0.095598221;34.74105072;0.005241394;0.178207278;14;4;0.017413942;4.511154175;614
0;74.85;-54.15;-1332;3.744072437;-1.320609927;NA;NA;33.80418777;0.028110504;NA;NA;0.188918307;14;7;0.01077609;4.526103973;279
0;70.85;-47.15;-610;5.455009937;-2.75868988;1.972254992;-0.107839823;33.74241257;0.035377502;34.5711937;-0.106250763;1.097537875;14;4;0.019006267;NA;716
0;72.05;-53.45;-1182;3.980410099;-1.462280035;2.099790096;0.006479979;33.87670135;8.77E-05;34.74031067;0.032085419;0.192708939;14;4;0.016493814;4.503749371;396
0;65.15;-49.75;-525;4.803339958;-1.905255198;2.262739897;0.047250032;33.81030273;-0.054849625;34.2819519;-0.067558289;0.176330894;14;4;0.049347345;5.048053741;1302
0;71.45;-49.45;-625;4.667310238;-2.337320328;2.20424509;0.105449915;33.87638855;0.046691895;34.5278511;-0.026836395;0.477055669;14;2;0.003648624;4.492769241;144
0;72.65;-52.75;-240;4.111952782;-1.380050063;1.319299936;0.313254952;33.8949585;0.0189991;34.15354156;-0.02709198;0.410875142;2;4;0.005680855;5.580842018;90
0;74.75;-50.85;-627;4.461697578;-1.375844955;NA;NA;33.88805008;0.027755737;NA;NA;0.382374555;14;2;0.006607147;NA;154
0;77.85;-52.65;-1345;3.958310127;-1.853909969;2.179260015;0.150744915;33.83800125;-0.000312805;34.74314499;-0.013149261;0.172353834;14;2;0.022032127;NA;915
0;69.45;-47.55;-190;5.274010181;-2.306190014;2.952209949;0.024399996;33.73841095;-0.008701324;33.83259964;-0.018447876;0.43305707;2;4;0.001627101;7.146435738;75
0;68.35;-50.35;-1156;4.4074049;-1.947410107;2.215904951;0.019570112;33.8260994;-0.002613068;34.71990204;-0.007266998;0.181064844;14;4;0.02918171;4.361618996;720
0;75.45;-52.75;-646;4.063735008;-1.301434994;2.189447403;0.238497257;33.85910034;-0.010900497;34.43315125;-0.085006714;0.321734041;14;2;0.015751908;4.521341801;259
0;74.05;-51.65;-397;4.33044529;-1.283000112;2.218189955;0.138409853;33.90121078;0.041999817;34.35829926;-0.013210297;0.607968152;14;4;0.004451545;4.897781372;93
0;73.05;-49.95;-624;4.643109798;-1.753600001;2.035504818;0.144989967;33.90751266;0.00920105;34.50005341;-0.007053375;0.54433918;14;7;0.01511263;4.407403946;374
0;76.05;-52.25;-814;4.116004944;-1.416500092;NA;NA;33.86070251;-0.011459351;NA;NA;0.311574042;14;2;0.004885472;NA;170
0;67.55;-46.05;-1130;6.297009945;-2.936180115;NA;NA;33.69451141;0.142978668;NA;NA;0.213016123;14;4;0.028867468;NA;NA
0;68.25;-47.85;-235;5.307749748;-2.07675004;NA;NA;33.76723862;-0.003355026;NA;NA;0.236995518;14;4;0.000682872;NA;73
0;69.35;-47.25;-793;5.425549984;-2.398700237;1.863432527;-0.337242365;33.72985458;0.013462067;34.32292557;-0.130249023;0.615252435;14;4;0.014826721;NA;507
0;71.15;-50.45;-650;4.541174889;-2.005599976;1.80358994;0.249210119;33.91619873;0.065208435;34.57541275;0.005912781;0.396975398;14;2;0.00405275;NA;129
0;68.15;-47.45;-192;5.448790073;-2.169819832;2.362849951;-0.246899843;33.7469902;0.02230835;33.95030594;-0.011444092;0.279084563;2;4;0.001585196;NA;48
